Shop_ID,Shop_Name,Location,Date,Product_ID,Product_Name,Quantity_Sold,Unit_Price,Total_Sales,Cost_Price_Per_Unit,Total_Cost,Profit
S001,Shop_1,Mumbai,2025-04-19,P116,Salt,83,78,6474,72,5976,498
S015,Shop_15,Ahmedabad,2025-03-17,P101,Milk,108,88,9504,93,10044,-540
S018,Shop_18,Delhi,2025-04-12,P111,Coffee,19,75,1425,65,1235,190
S018,Shop_18,Bangalore,2025-01-31,P114,Shampoo,68,56,3808,50,3400,408
S015,Shop_15,Bangalore,2025-05-31,P118,Flour,58,81,4698,85,4930,-232
S017,Shop_17,Lucknow,2025-06-06,P112,Biscuits,17,97,1649,93,1581,68
S001,Shop_1,Delhi,2025-05-28,P119,Detergent,176,74,13024,64,11264,1760
S019,Shop_19,Hyderabad,2025-05-16,P105,Eggs,163,43,7009,46,7498,-489
S012,Shop_12,Kolkata,2025-02-21,P105,Eggs,54,72,3888,61,3294,594
S013,Shop_13,Chennai,2025-01-30,P120,Snacks,83,37,3071,29,2407,664
S009,Shop_9,Pune,2025-06-17,P110,Tea,20,91,1820,86,1720,100
S005,Shop_5,Mumbai,2025-04-01,P110,Tea,191,54,10314,57,10887,-573
S003,Shop_3,Chennai,2025-05-09,P118,Flour,10,81,810,86,860,-50
S013,Shop_13,Jaipur,2025-06-30,P115,Toothpaste,122,14,1708,18,2196,-488
S012,Shop_12,Ahmedabad,2025-03-18,P107,Rice,185,35,6475,23,4255,2220
S001,Shop_1,Mumbai,2025-03-26,P113,Soap,101,43,4343,40,4040,303
S006,Shop_6,Jaipur,2025-03-14,P119,Detergent,39,10,390,8,312,78
S012,Shop_12,Lucknow,2025-06-01,P120,Snacks,179,19,3401,7,1253,2148
S013,Shop_13,Ahmedabad,2025-02-22,P111,Coffee,122,24,2928,24,2928,0
S012,Shop_12,Delhi,2025-02-04,P108,Oil,108,26,2808,29,3132,-324
S019,Shop_19,Kolkata,2025-06-11,P104,Cheese,113,30,3390,32,3616,-226
S010,Shop_10,Kolkata,2025-06-05,P111,Coffee,109,43,4687,34,3706,981
S011,Shop_11,Bangalore,2025-05-26,P110,Tea,114,57,6498,43,4902,1596
S010,Shop_10,Mumbai,2025-03-05,P114,Shampoo,54,84,4536,75,4050,486
S010,Shop_10,Kolkata,2025-02-11,P109,Sugar,81,39,3159,42,3402,-243
S007,Shop_7,Jaipur,2025-03-07,P115,Toothpaste,145,73,10585,77,11165,-580
S010,Shop_10,Pune,2025-01-11,P107,Rice,148,40,5920,34,5032,888
S015,Shop_15,Pune,2025-02-04,P108,Oil,152,45,6840,34,5168,1672
S009,Shop_9,Bangalore,2025-02-05,P115,Toothpaste,32,57,1824,62,1984,-160
S015,Shop_15,Chennai,2025-04-15,P114,Shampoo,124,16,1984,16,1984,0
S017,Shop_17,Delhi,2025-02-23,P112,Biscuits,28,65,1820,68,1904,-84
S009,Shop_9,Delhi,2025-03-22,P117,Cereal,171,49,8379,46,7866,513
S004,Shop_4,Chennai,2025-04-05,P109,Sugar,185,92,17020,86,15910,1110
S014,Shop_14,Pune,2025-02-09,P110,Tea,126,18,2268,10,1260,1008
S006,Shop_6,Ahmedabad,2025-03-06,P115,Toothpaste,20,65,1300,65,1300,0
S016,Shop_16,Pune,2025-05-09,P111,Coffee,62,45,2790,38,2356,434
S002,Shop_2,Lucknow,2025-05-02,P106,Juice,24,72,1728,71,1704,24
S006,Shop_6,Lucknow,2025-06-21,P107,Rice,36,41,1476,35,1260,216
S014,Shop_14,Pune,2025-02-28,P109,Sugar,131,42,5502,32,4192,1310
S015,Shop_15,Delhi,2025-04-17,P113,Soap,67,23,1541,24,1608,-67
S015,Shop_15,Ahmedabad,2025-03-19,P101,Milk,166,94,15604,83,13778,1826
S002,Shop_2,Jaipur,2025-06-29,P118,Flour,200,88,17600,75,15000,2600
S003,Shop_3,Bangalore,2025-05-20,P114,Shampoo,97,91,8827,96,9312,-485
S005,Shop_5,Mumbai,2025-01-27,P102,Bread,130,73,9490,71,9230,260
S007,Shop_7,Pune,2025-05-07,P116,Salt,158,33,5214,27,4266,948
S007,Shop_7,Hyderabad,2025-04-27,P108,Oil,182,52,9464,53,9646,-182
S004,Shop_4,Pune,2025-04-16,P119,Detergent,180,79,14220,73,13140,1080
S009,Shop_9,Bangalore,2025-01-25,P119,Detergent,78,44,3432,49,3822,-390
S017,Shop_17,Ahmedabad,2025-05-26,P111,Coffee,69,62,4278,60,4140,138
S005,Shop_5,Hyderabad,2025-04-05,P112,Biscuits,46,53,2438,43,1978,460
S017,Shop_17,Hyderabad,2025-05-15,P114,Shampoo,86,47,4042,32,2752,1290
S010,Shop_10,Chennai,2025-06-30,P104,Cheese,176,73,12848,73,12848,0
S001,Shop_1,Chennai,2025-02-06,P112,Biscuits,179,80,14320,80,14320,0
S019,Shop_19,Mumbai,2025-05-01,P109,Sugar,132,32,4224,26,3432,792
S014,Shop_14,Delhi,2025-05-24,P101,Milk,92,38,3496,30,2760,736
S015,Shop_15,Chennai,2025-04-27,P118,Flour,187,25,4675,10,1870,2805
S004,Shop_4,Pune,2025-03-03,P106,Juice,16,90,1440,82,1312,128
S015,Shop_15,Kolkata,2025-02-11,P120,Snacks,81,28,2268,27,2187,81
S010,Shop_10,Bangalore,2025-06-28,P101,Milk,40,29,1160,16,640,520
S010,Shop_10,Pune,2025-01-03,P120,Snacks,137,100,13700,105,14385,-685
S007,Shop_7,Delhi,2025-01-17,P107,Rice,131,20,2620,19,2489,131
S010,Shop_10,Mumbai,2025-05-05,P112,Biscuits,97,63,6111,55,5335,776
S015,Shop_15,Jaipur,2025-01-05,P115,Toothpaste,146,27,3942,26,3796,146
S019,Shop_19,Kolkata,2025-04-29,P112,Biscuits,88,94,8272,88,7744,528
S013,Shop_13,Pune,2025-06-29,P110,Tea,175,72,12600,63,11025,1575
S013,Shop_13,Pune,2025-01-17,P117,Cereal,30,18,540,15,450,90
S016,Shop_16,Hyderabad,2025-01-26,P119,Detergent,154,18,2772,9,1386,1386
S011,Shop_11,Bangalore,2025-06-14,P102,Bread,162,78,12636,83,13446,-810
S013,Shop_13,Ahmedabad,2025-03-17,P116,Salt,139,78,10842,69,9591,1251
S002,Shop_2,Delhi,2025-04-03,P120,Snacks,77,61,4697,58,4466,231
S016,Shop_16,Kolkata,2025-05-12,P118,Flour,68,16,1088,2,136,952
S003,Shop_3,Bangalore,2025-06-25,P108,Oil,93,16,1488,18,1674,-186
S001,Shop_1,Hyderabad,2025-02-25,P109,Sugar,116,42,4872,47,5452,-580
S017,Shop_17,Mumbai,2025-04-10,P114,Shampoo,31,35,1085,28,868,217
S003,Shop_3,Kolkata,2025-04-24,P107,Rice,20,43,860,35,700,160
S001,Shop_1,Jaipur,2025-04-17,P102,Bread,133,88,11704,82,10906,798
S001,Shop_1,Mumbai,2025-06-24,P120,Snacks,103,10,1030,8,824,206
S007,Shop_7,Ahmedabad,2025-04-07,P115,Toothpaste,23,86,1978,78,1794,184
S006,Shop_6,Lucknow,2025-01-09,P103,Butter,83,61,5063,58,4814,249
S013,Shop_13,Hyderabad,2025-05-04,P113,Soap,189,53,10017,44,8316,1701
S001,Shop_1,Bangalore,2025-06-28,P119,Detergent,105,97,10185,93,9765,420
S018,Shop_18,Ahmedabad,2025-03-08,P108,Oil,142,16,2272,8,1136,1136
S018,Shop_18,Lucknow,2025-06-04,P120,Snacks,196,14,2744,0,0,2744
S019,Shop_19,Pune,2025-05-29,P110,Tea,152,86,13072,87,13224,-152
S005,Shop_5,Delhi,2025-04-01,P114,Shampoo,126,79,9954,67,8442,1512
S011,Shop_11,Ahmedabad,2025-05-31,P106,Juice,106,49,5194,51,5406,-212
S005,Shop_5,Bangalore,2025-03-20,P109,Sugar,134,97,12998,83,11122,1876
S011,Shop_11,Mumbai,2025-03-20,P111,Coffee,175,77,13475,63,11025,2450
S005,Shop_5,Hyderabad,2025-04-21,P103,Butter,137,15,2055,10,1370,685
S016,Shop_16,Pune,2025-02-19,P116,Salt,102,68,6936,68,6936,0
S018,Shop_18,Ahmedabad,2025-03-14,P120,Snacks,17,64,1088,61,1037,51
S018,Shop_18,Jaipur,2025-01-03,P118,Flour,182,31,5642,34,6188,-546
S013,Shop_13,Pune,2025-03-17,P119,Detergent,172,31,5332,23,3956,1376
S005,Shop_5,Chennai,2025-04-05,P104,Cheese,37,40,1480,45,1665,-185
S011,Shop_11,Mumbai,2025-01-31,P113,Soap,112,19,2128,14,1568,560
S004,Shop_4,Pune,2025-03-18,P107,Rice,176,10,1760,15,2640,-880
S009,Shop_9,Hyderabad,2025-06-06,P107,Rice,100,22,2200,21,2100,100
S016,Shop_16,Bangalore,2025-04-30,P115,Toothpaste,54,89,4806,90,4860,-54
S013,Shop_13,Ahmedabad,2025-03-26,P114,Shampoo,164,45,7380,36,5904,1476
S016,Shop_16,Mumbai,2025-05-22,P103,Butter,161,38,6118,33,5313,805
S011,Shop_11,Chennai,2025-04-15,P102,Bread,148,27,3996,24,3552,444
S015,Shop_15,Mumbai,2025-03-29,P116,Salt,112,17,1904,6,672,1232
S002,Shop_2,Ahmedabad,2025-06-11,P115,Toothpaste,39,50,1950,49,1911,39
S013,Shop_13,Lucknow,2025-04-19,P119,Detergent,174,88,15312,86,14964,348
S017,Shop_17,Delhi,2025-01-02,P116,Salt,43,87,3741,82,3526,215
S016,Shop_16,Pune,2025-04-07,P118,Flour,109,100,10900,94,10246,654
S002,Shop_2,Jaipur,2025-02-04,P119,Detergent,82,49,4018,41,3362,656
S012,Shop_12,Jaipur,2025-04-09,P116,Salt,183,26,4758,15,2745,2013
S018,Shop_18,Bangalore,2025-04-09,P119,Detergent,146,14,2044,2,292,1752
S010,Shop_10,Ahmedabad,2025-03-01,P110,Tea,75,63,4725,56,4200,525
S019,Shop_19,Jaipur,2025-04-06,P106,Juice,103,27,2781,14,1442,1339
S012,Shop_12,Bangalore,2025-03-04,P117,Cereal,200,80,16000,82,16400,-400
S015,Shop_15,Delhi,2025-06-28,P103,Butter,155,83,12865,72,11160,1705
S013,Shop_13,Hyderabad,2025-05-09,P105,Eggs,99,29,2871,26,2574,297
S001,Shop_1,Mumbai,2025-05-31,P116,Salt,92,74,6808,63,5796,1012
S020,Shop_20,Kolkata,2025-04-15,P108,Oil,17,15,255,17,289,-34
S014,Shop_14,Delhi,2025-05-01,P102,Bread,72,42,3024,33,2376,648
S020,Shop_20,Kolkata,2025-03-03,P101,Milk,152,27,4104,29,4408,-304
S003,Shop_3,Lucknow,2025-04-08,P107,Rice,41,36,1476,34,1394,82
S009,Shop_9,Pune,2025-06-20,P104,Cheese,152,94,14288,95,14440,-152
S010,Shop_10,Ahmedabad,2025-01-13,P103,Butter,194,74,14356,60,11640,2716
S014,Shop_14,Lucknow,2025-05-08,P106,Juice,196,25,4900,15,2940,1960
S002,Shop_2,Pune,2025-01-14,P117,Cereal,95,51,4845,50,4750,95
S015,Shop_15,Bangalore,2025-03-26,P111,Coffee,176,97,17072,90,15840,1232
S020,Shop_20,Ahmedabad,2025-03-03,P109,Sugar,30,68,2040,55,1650,390
S010,Shop_10,Lucknow,2025-02-12,P117,Cereal,22,55,1210,58,1276,-66
S018,Shop_18,Ahmedabad,2025-03-04,P115,Toothpaste,130,85,11050,72,9360,1690
S008,Shop_8,Mumbai,2025-03-21,P109,Sugar,47,86,4042,80,3760,282
S005,Shop_5,Ahmedabad,2025-04-21,P106,Juice,34,80,2720,73,2482,238
S019,Shop_19,Ahmedabad,2025-01-14,P107,Rice,37,59,2183,62,2294,-111
S012,Shop_12,Chennai,2025-04-28,P117,Cereal,60,12,720,5,300,420
S012,Shop_12,Bangalore,2025-04-23,P119,Detergent,68,26,1768,24,1632,136
S010,Shop_10,Lucknow,2025-02-09,P103,Butter,38,88,3344,76,2888,456
S011,Shop_11,Bangalore,2025-03-08,P105,Eggs,179,48,8592,53,9487,-895
S009,Shop_9,Chennai,2025-01-11,P112,Biscuits,68,57,3876,56,3808,68
S015,Shop_15,Lucknow,2025-05-20,P113,Soap,130,70,9100,68,8840,260
S014,Shop_14,Mumbai,2025-06-08,P107,Rice,44,53,2332,48,2112,220
S002,Shop_2,Kolkata,2025-06-21,P104,Cheese,11,23,253,12,132,121
S007,Shop_7,Hyderabad,2025-02-26,P114,Shampoo,44,68,2992,66,2904,88
S001,Shop_1,Ahmedabad,2025-03-05,P119,Detergent,198,21,4158,22,4356,-198
S020,Shop_20,Ahmedabad,2025-05-19,P106,Juice,125,59,7375,52,6500,875
S001,Shop_1,Ahmedabad,2025-05-22,P101,Milk,187,43,8041,29,5423,2618
S014,Shop_14,Kolkata,2025-02-21,P115,Toothpaste,49,66,3234,60,2940,294
S010,Shop_10,Mumbai,2025-04-15,P101,Milk,120,84,10080,74,8880,1200
S003,Shop_3,Mumbai,2025-01-08,P114,Shampoo,54,91,4914,90,4860,54
S003,Shop_3,Jaipur,2025-05-02,P107,Rice,184,31,5704,29,5336,368
S003,Shop_3,Hyderabad,2025-05-02,P104,Cheese,59,40,2360,43,2537,-177
S001,Shop_1,Lucknow,2025-06-17,P105,Eggs,187,41,7667,38,7106,561
S011,Shop_11,Chennai,2025-06-02,P104,Cheese,194,84,16296,69,13386,2910
S014,Shop_14,Kolkata,2025-05-18,P120,Snacks,37,36,1332,39,1443,-111
S010,Shop_10,Ahmedabad,2025-06-04,P110,Tea,38,52,1976,48,1824,152
S007,Shop_7,Mumbai,2025-02-13,P105,Eggs,59,66,3894,66,3894,0
S016,Shop_16,Ahmedabad,2025-04-14,P119,Detergent,11,99,1089,104,1144,-55
S004,Shop_4,Lucknow,2025-02-13,P109,Sugar,83,91,7553,91,7553,0
S014,Shop_14,Ahmedabad,2025-03-22,P102,Bread,13,94,1222,86,1118,104
S020,Shop_20,Ahmedabad,2025-02-08,P105,Eggs,148,13,1924,5,740,1184
S009,Shop_9,Mumbai,2025-02-18,P114,Shampoo,19,62,1178,54,1026,152
S009,Shop_9,Delhi,2025-01-08,P112,Biscuits,51,90,4590,76,3876,714
S015,Shop_15,Jaipur,2025-03-20,P111,Coffee,142,30,4260,17,2414,1846
S011,Shop_11,Pune,2025-06-14,P108,Oil,151,35,5285,31,4681,604
S007,Shop_7,Mumbai,2025-05-25,P103,Butter,143,43,6149,29,4147,2002
S018,Shop_18,Hyderabad,2025-05-14,P110,Tea,198,15,2970,13,2574,396
S006,Shop_6,Delhi,2025-04-01,P104,Cheese,187,46,8602,35,6545,2057
S007,Shop_7,Delhi,2025-02-28,P115,Toothpaste,71,50,3550,50,3550,0
S017,Shop_17,Chennai,2025-01-17,P111,Coffee,193,41,7913,42,8106,-193
S005,Shop_5,Kolkata,2025-01-15,P109,Sugar,156,88,13728,84,13104,624
S003,Shop_3,Mumbai,2025-04-24,P120,Snacks,128,27,3456,19,2432,1024
S001,Shop_1,Hyderabad,2025-03-10,P117,Cereal,93,64,5952,62,5766,186
S020,Shop_20,Mumbai,2025-06-16,P118,Flour,57,67,3819,60,3420,399
S015,Shop_15,Ahmedabad,2025-02-13,P118,Flour,183,89,16287,74,13542,2745
S005,Shop_5,Mumbai,2025-02-01,P104,Cheese,165,49,8085,43,7095,990
S017,Shop_17,Mumbai,2025-06-21,P118,Flour,178,96,17088,101,17978,-890
S007,Shop_7,Kolkata,2025-04-22,P106,Juice,190,84,15960,88,16720,-760
S016,Shop_16,Ahmedabad,2025-01-26,P109,Sugar,188,74,13912,62,11656,2256
S010,Shop_10,Delhi,2025-01-03,P112,Biscuits,184,41,7544,33,6072,1472
S005,Shop_5,Delhi,2025-01-22,P109,Sugar,160,76,12160,69,11040,1120
S010,Shop_10,Pune,2025-05-30,P111,Coffee,57,77,4389,65,3705,684
S007,Shop_7,Pune,2025-06-25,P110,Tea,44,12,528,2,88,440
S004,Shop_4,Ahmedabad,2025-02-17,P105,Eggs,102,35,3570,34,3468,102
S005,Shop_5,Pune,2025-02-15,P107,Rice,58,16,928,11,638,290
S016,Shop_16,Kolkata,2025-02-08,P112,Biscuits,162,57,9234,57,9234,0
S014,Shop_14,Lucknow,2025-06-12,P120,Snacks,51,82,4182,82,4182,0
S015,Shop_15,Jaipur,2025-01-27,P103,Butter,160,96,15360,97,15520,-160
S015,Shop_15,Hyderabad,2025-04-18,P110,Tea,69,89,6141,88,6072,69
S008,Shop_8,Delhi,2025-01-30,P113,Soap,65,81,5265,79,5135,130
S017,Shop_17,Lucknow,2025-03-01,P109,Sugar,29,82,2378,78,2262,116
S006,Shop_6,Jaipur,2025-03-23,P117,Cereal,105,100,10500,92,9660,840
S008,Shop_8,Chennai,2025-02-05,P110,Tea,59,83,4897,81,4779,118
S004,Shop_4,Lucknow,2025-02-26,P117,Cereal,71,83,5893,70,4970,923
S020,Shop_20,Chennai,2025-02-21,P105,Eggs,200,11,2200,9,1800,400
S012,Shop_12,Bangalore,2025-03-17,P110,Tea,25,49,1225,35,875,350
S009,Shop_9,Ahmedabad,2025-02-02,P107,Rice,92,78,7176,77,7084,92
S004,Shop_4,Jaipur,2025-04-15,P102,Bread,30,52,1560,57,1710,-150
S015,Shop_15,Pune,2025-01-02,P111,Coffee,162,40,6480,25,4050,2430
S020,Shop_20,Mumbai,2025-02-10,P111,Coffee,61,100,6100,89,5429,671
S007,Shop_7,Jaipur,2025-01-29,P106,Juice,88,71,6248,68,5984,264
S015,Shop_15,Bangalore,2025-01-05,P101,Milk,17,62,1054,56,952,102
S003,Shop_3,Mumbai,2025-01-09,P104,Cheese,158,92,14536,89,14062,474
S015,Shop_15,Bangalore,2025-01-17,P104,Cheese,100,16,1600,18,1800,-200
S008,Shop_8,Mumbai,2025-02-01,P116,Salt,141,39,5499,40,5640,-141
S018,Shop_18,Delhi,2025-06-29,P115,Toothpaste,163,62,10106,58,9454,652
S008,Shop_8,Pune,2025-02-23,P116,Salt,149,21,3129,9,1341,1788
S020,Shop_20,Lucknow,2025-05-22,P113,Soap,170,54,9180,43,7310,1870
S004,Shop_4,Hyderabad,2025-01-23,P104,Cheese,183,69,12627,71,12993,-366
S019,Shop_19,Lucknow,2025-01-06,P110,Tea,165,64,10560,65,10725,-165
S008,Shop_8,Pune,2025-03-04,P112,Biscuits,165,87,14355,72,11880,2475
S015,Shop_15,Bangalore,2025-04-21,P118,Flour,108,51,5508,39,4212,1296
S005,Shop_5,Mumbai,2025-01-01,P107,Rice,80,40,3200,35,2800,400
S007,Shop_7,Hyderabad,2025-06-14,P101,Milk,194,21,4074,11,2134,1940
S005,Shop_5,Kolkata,2025-04-08,P119,Detergent,20,62,1240,60,1200,40
S018,Shop_18,Kolkata,2025-03-10,P115,Toothpaste,114,63,7182,67,7638,-456
S007,Shop_7,Ahmedabad,2025-05-25,P102,Bread,190,40,7600,32,6080,1520
S003,Shop_3,Delhi,2025-01-28,P102,Bread,93,75,6975,60,5580,1395
S020,Shop_20,Bangalore,2025-04-18,P102,Bread,12,59,708,50,600,108
S014,Shop_14,Pune,2025-04-09,P113,Soap,197,42,8274,37,7289,985
S017,Shop_17,Ahmedabad,2025-04-21,P109,Sugar,104,17,1768,20,2080,-312
S018,Shop_18,Delhi,2025-01-16,P111,Coffee,24,26,624,24,576,48
S011,Shop_11,Pune,2025-04-04,P110,Tea,32,71,2272,63,2016,256
S008,Shop_8,Delhi,2025-06-02,P116,Salt,150,33,4950,19,2850,2100
S003,Shop_3,Pune,2025-05-22,P117,Cereal,24,77,1848,67,1608,240
S010,Shop_10,Bangalore,2025-05-28,P110,Tea,181,84,15204,86,15566,-362
S010,Shop_10,Hyderabad,2025-04-20,P103,Butter,144,94,13536,92,13248,288
S016,Shop_16,Hyderabad,2025-06-22,P116,Salt,43,12,516,-3,-129,645
S020,Shop_20,Mumbai,2025-03-01,P115,Toothpaste,70,99,6930,102,7140,-210
S012,Shop_12,Pune,2025-02-05,P115,Toothpaste,145,47,6815,35,5075,1740
S009,Shop_9,Jaipur,2025-06-11,P120,Snacks,50,71,3550,66,3300,250
S011,Shop_11,Delhi,2025-02-25,P110,Tea,176,91,16016,83,14608,1408
S020,Shop_20,Ahmedabad,2025-03-15,P119,Detergent,21,28,588,30,630,-42
S014,Shop_14,Bangalore,2025-01-28,P107,Rice,90,81,7290,75,6750,540
S008,Shop_8,Jaipur,2025-04-20,P114,Shampoo,121,50,6050,45,5445,605
S014,Shop_14,Chennai,2025-01-21,P107,Rice,193,48,9264,51,9843,-579
S015,Shop_15,Kolkata,2025-05-11,P107,Rice,150,81,12150,76,11400,750
S012,Shop_12,Mumbai,2025-04-14,P114,Shampoo,11,88,968,84,924,44
S014,Shop_14,Jaipur,2025-01-30,P104,Cheese,148,33,4884,18,2664,2220
S002,Shop_2,Kolkata,2025-05-14,P102,Bread,63,39,2457,26,1638,819
S004,Shop_4,Delhi,2025-02-11,P116,Salt,191,80,15280,76,14516,764
S010,Shop_10,Bangalore,2025-04-25,P109,Sugar,88,63,5544,58,5104,440
S009,Shop_9,Ahmedabad,2025-04-20,P103,Butter,44,50,2200,44,1936,264
S013,Shop_13,Mumbai,2025-06-15,P119,Detergent,80,79,6320,82,6560,-240
S017,Shop_17,Ahmedabad,2025-03-15,P102,Bread,54,84,4536,89,4806,-270
S015,Shop_15,Hyderabad,2025-01-10,P110,Tea,147,36,5292,31,4557,735
S006,Shop_6,Pune,2025-01-28,P113,Soap,99,13,1287,1,99,1188
S012,Shop_12,Lucknow,2025-03-02,P115,Toothpaste,174,85,14790,77,13398,1392
S001,Shop_1,Hyderabad,2025-04-15,P102,Bread,57,15,855,14,798,57
S011,Shop_11,Mumbai,2025-06-11,P103,Butter,59,65,3835,66,3894,-59
S002,Shop_2,Kolkata,2025-01-10,P108,Oil,18,64,1152,51,918,234
S019,Shop_19,Delhi,2025-06-09,P120,Snacks,56,45,2520,35,1960,560
S005,Shop_5,Kolkata,2025-02-23,P112,Biscuits,152,61,9272,48,7296,1976
S014,Shop_14,Chennai,2025-05-19,P115,Toothpaste,138,35,4830,25,3450,1380
S011,Shop_11,Pune,2025-05-07,P111,Coffee,94,41,3854,29,2726,1128
S018,Shop_18,Chennai,2025-02-20,P115,Toothpaste,23,19,437,21,483,-46
S013,Shop_13,Bangalore,2025-05-08,P113,Soap,162,22,3564,16,2592,972
S007,Shop_7,Chennai,2025-03-04,P118,Flour,10,36,360,40,400,-40
S009,Shop_9,Hyderabad,2025-02-24,P118,Flour,118,96,11328,95,11210,118
S008,Shop_8,Bangalore,2025-04-26,P103,Butter,102,24,2448,10,1020,1428
S006,Shop_6,Kolkata,2025-02-23,P104,Cheese,41,95,3895,81,3321,574
S011,Shop_11,Delhi,2025-05-27,P113,Soap,65,78,5070,68,4420,650
S020,Shop_20,Chennai,2025-06-24,P101,Milk,90,51,4590,52,4680,-90
S010,Shop_10,Lucknow,2025-04-02,P117,Cereal,18,88,1584,80,1440,144
S008,Shop_8,Pune,2025-02-16,P106,Juice,107,56,5992,54,5778,214
S006,Shop_6,Bangalore,2025-02-24,P112,Biscuits,134,68,9112,67,8978,134
S013,Shop_13,Jaipur,2025-01-10,P118,Flour,33,72,2376,62,2046,330
S011,Shop_11,Pune,2025-02-15,P103,Butter,147,84,12348,79,11613,735
S009,Shop_9,Lucknow,2025-02-15,P105,Eggs,64,95,6080,88,5632,448
S014,Shop_14,Chennai,2025-05-27,P117,Cereal,72,69,4968,67,4824,144
S020,Shop_20,Delhi,2025-05-15,P111,Coffee,77,63,4851,54,4158,693
